q1,q2,q3
1.321950197,-1.453065753,0.724948049
1.31240654,-1.402821302,0.698227823
1.303576469,-1.350307226,0.668625534
1.298392534,-1.304401875,0.642202675
1.296858788,-1.265274048,0.619101942
1.298965216,-1.233063579,0.599447191
1.304687023,-1.20788312,0.583354771
1.313980579,-1.189814091,0.570925653
1.326791525,-1.178910613,0.562249959
1.324361324,-1.165974379,0.566434085


